ticker,permno,first_year,last_year,rows
11078,11078,1993,1997,831
11081,11081,1993,2013,5240
11082,11082,1993,2006,1381
11083,11083,1993,1993,217
11086,11086,1993,1993,119
11087,11087,1993,1993,189
11088,11088,1993,2000,1903
11091,11091,1993,1994,109
11095,11095,1993,2003,1345
11099,11099,1993,1995,135
11100,11100,1993,1999,1433
11103,11103,1993,1999,1719
11106,11106,1993,2001,2068
11109,11109,1993,1995,489
11118,11118,1993,1993,40
11119,11119,1993,1998,1450
11120,11120,1993,1998,1316
11122,11122,1993,1999,1617
11123,11123,1993,1994,51
11124,11124,1993,1998,1337
11127,11127,1993,2000,1884
11131,11131,1993,2015,4742
11132,11132,1993,2012,4814
11134,11134,1993,1994,323
11136,11136,1993,1999,1392
11137,11137,1993,2012,4749
11138,11138,1993,2004,2677
11139,11139,1993,2003,1876
11140,11140,1993,1997,494
11141,11141,1993,1998,1255
11144,11144,1993,2020,6626
11145,11145,1993,1993,45
11146,11146,1993,1996,422
11147,11147,1993,1993,247
11152,11152,1993,1999,1439
11154,11154,1993,2020,7051
11157,11157,1993,2013,4586
11159,11159,1993,2003,2671
11161,11161,1993,2010,2094
11162,11162,1993,2010,4290
11168,11168,1993,1999,1448
11170,11170,1993,2000,1817
11174,11174,1993,2020,6987
11178,11178,1993,1998,440
11181,11181,1993,1998,1303
11183,11183,1993,2006,3001
11184,11184,1993,1996,757
11185,11185,1999,2007,1312
11186,11186,1993,1997,742
11187,11187,1993,2001,1719
11189,11189,1993,1993,44
11192,11192,1993,1999,1608
11194,11194,1993,2004,1353
11197,11197,1993,2001,2125
11198,11198,1993,2000,1550
11202,11202,1993,1995,742
11203,11203,1993,2020,7032
11207,11207,1993,1995,645
11208,11208,1993,2020,6984
11209,11209,1993,1995,678
11211,11211,1993,1996,942
11212,11212,1993,1995,565
11214,11214,1993,2001,2202
11215,11215,1993,1998,1308
11216,11216,1993,2005,2069
11217,11217,1994,1996,430
11220,11220,1993,1995,376
11221,11221,1993,1996,965
11223,11223,1993,1994,281
11225,11225,1993,1999,1239
11230,11230,1993,2002,2305
11232,11232,1993,1995,410
11233,11233,1993,1995,643
11235,11235,1993,1994,51
11241,11241,1993,1995,513
11246,11246,1993,2017,4597
11251,11251,1993,1993,19
11256,11256,1993,1994,209
11257,11257,1993,1996,903
11259,11259,1993,1995,329
11260,11260,1993,1998,1482
11262,11262,1993,2005,1452
11263,11263,1993,1998,658
11265,11265,1993,1997,790
11267,11267,1993,2020,7050
11269,11269,1993,1994,484
11274,11274,1993,1998,586
11275,11275,2019,2020,305
11276,11276,1993,1993,25
11277,11277,1993,2004,2646
11278,11278,1993,2008,3759
11282,11282,1993,1993,60
11283,11283,1993,1999,1699
11285,11285,1993,2020,6246
11290,11290,1993,1994,188
11291,11291,1993,2001,2086
11292,11292,1993,2020,6298
11293,11293,1993,2020,6935
11297,11297,1993,1994,211
11300,11300,1993,1998,537
11303,11303,1993,1995,332
11306,11306,1993,2009,3478
11307,11307,1993,1993,199
11308,11308,1993,2020,7051
11312,11312,1993,1997,341
11313,11313,1993,1997,1085
11314,11314,1993,1997,695
11315,11315,1993,2005,2952
11318,11318,1993,2004,2841
11321,11321,1993,1996,878
11322,11322,1993,1999,925
11323,11323,1993,1994,313
11326,11326,1993,1997,1233
11327,11327,1993,1994,403
11328,11328,1993,1994,299
11330,11330,1993,1995,413
11334,11334,1993,1995,551
11335,11335,1993,1999,1704
11336,11336,1993,1993,188
11338,11338,1993,1999,1522
11339,11339,1993,1997,1133
11340,11340,1993,2000,1979
11342,11342,1993,2003,2563
11343,11343,1993,2020,7032
11344,11344,1993,1996,728
11345,11345,1993,1997,1180
11346,11346,1993,1999,1563
11347,11347,1993,2007,3543
11348,11348,1993,2020,6690
11350,11350,1993,1998,1195
11352,11352,1993,1994,238
